state,county,issue,correct_county,correct_state,checked_link_1,checked_link_2,checked_link_3,notes
Alabama,Saint Clair County,spelling,St. Clair County,,,,,
Alabama,Usa County,does not exist,Shelby County,,yes,,,
Alaska,North West Artic Borough,spelling,Northwest Arctic Borough,,yes,,,
Arizona,Lapaz County,spelling,La Paz County,,,,,
Arkansas,Hot County,name,Hot Spring County,,,,,
California,Alamdea County,spelling,Alameda County,,,,,
California,King County,spelling,Kings County,,,,,
California,Montery County,spelling,Monterey County,,,,,
California,West Hollywood,city not county,Los Angeles County,,,,,
California,"West Hollywood, Los Angeles County",city not county,Los Angeles County,,,,,
California,NA,incorrect name,Santa Clara County,,yes,,,
Colorado,Adams County; Weld County,multicounty entry,Adams County,,"yes - way back machine, no info",,,From the city of Brighton which is situated within both Adams and Weld counties. 
Colorado,Adams County; Weld County,multicounty entry,Weld County,,"yes - way back machine, no info",,,
Colorado,Araphoe County,spelling,Arapahoe County,,,,,
Colorado,Freemont County,spelling,Fremont County,,,,,
Colorado,Gunnsion County,spelling,Gunnison County,,,,,
Colorado,La Plata County,spelling,La Plata County,,,,,
Connecticut,East Windsor,town not county,Hartford County,,,,,
District of Columbia,District Of Columbia,,,,,,,
District of Columbia,District of Columbia,,,,,,,
Florida,Cobb County,wrong state,Cobb County,Georgia,yes,,,
Florida,Jacksonville County,city not county,Duval County,,,,,
Florida,Orange Conuty,spelling,Orange County,,,,,
Florida,Saint Lucie County,spelling,St. Lucie County,,,,,
Florida,Venice County,city not county,Sarasota County,,yes,,,
Florida,Voluisa County,spelling,Volusia County,,,,,
Georgia,Athens-Clark County,city-county not county,Clarke County,,yes,,,
Georgia,Columbus-Muscogee County,merged counties in the 1970,Muscogee County,,,,,
Hawaii,Kaui County,spelling,Kauai County,,yes - not found,yes - not found,,
Illinois,"Clinton County, Jefferson County, Marion County, Washington County",multicounty entry,Clinton County,,yes ,yes - not found,,Details the police force in the city of Centralia which is situated on the intersection of four counties. 
Illinois,"Clinton County, Jefferson County, Marion County, Washington County",multicounty entry,Jefferson County,,yes ,yes - not found,,Details the police force in the city of Centralia which is situated on the intersection of four counties. 
Illinois,"Clinton County, Jefferson County, Marion County, Washington County",multicounty entry,Marion County,,yes ,yes - not found,,Details the police force in the city of Centralia which is situated on the intersection of four counties. 
Illinois,"Clinton County, Jefferson County, Marion County, Washington County",multicounty entry,Washington County,,yes ,yes - not found,,Details the police force in the city of Centralia which is situated on the intersection of four counties. 
Illinois,"Cook County, Kane County",multicounty entry,Cook County,,yes ,,,"Report from the Elgin Police Force, a city which spans two counties. "
Illinois,"Cook County, Kane County",multicounty entry,Kane County,,yes,,,
Illinois,Dewitt County,spelling,De Witt County,,,,,
Illinois,Du Page County,spelling,DuPage County,,,,,
Illinois,"Kane County, Kendall County",multicounty entry,Kane County,,,,,Montgomery City
Illinois,"Kane County, Kendall County",multicounty entry,Kendall County,,,,,
Illinois,La Salle County,spelling,LaSalle County,,,,,
Illinois,"Lake County, Mchenry County","multicounty entry, spelling",Lake County,,,,,
Illinois,"Lake County, Mchenry County","multicounty entry, spelling",McHenry County,,,,,
Illinois,Lake Mchenry County,"multicounty entry, spelling",Lake County,,yes - not found,yes ,yes,
Illinois,Lake Mchenry County,"multicounty entry, spelling",McHenry County,,,,,
Illinois,Lasalle/Livingston County,multicounty entry,LaSalle County,,,,,
Illinois,Lasalle/Livingston County,multicounty entry,Livingston County,,,,,
Illinois,"Logan County, Mason County",multicounty entry,Logan County,,,,,
Illinois,"Logan County, Mason County",multicounty entry,Mason County,,,,,
Illinois,Mc Donough County,spelling,McDonough County,,,,,
Illinois,Mc Henry County,spelling,McHenry County,,,,,
Illinois,Mc Lean County,spelling,McLean County,,,,,
Illinois,"Peoria County, Tazewell County, Woodford County",incorrect entry,Peoria County,,,,,"""According to the Census Bureau records through 2007, Peoria Heights lies in three counties (Peoria, Woodford, and Tazewell).[2] While neither Tazewell nor Woodford counties consider Peoria Heights to be within their jurisdiction,[13][14] the state of Illinois does show that across Peoria Lake from the rest of the village, a small, uninhabited[citation needed] area exists both within Peoria Heights and Woodford County. However, the Census Bureau claim that Peoria Heights is also within Tazewell County is unsupported by any state, county, or municipal websites."" From Wikipedia"
Illinois,Saint Clair County,spelling,St. Clair County,,,,,
Illinois,Sangamon County.,spelling,Sangamon County,,,,,
Illinois,Warrren County,spelling,Warren County,,,,,
Indiana,Chester County,incorrect name,Orange County,,yes,,,
Indiana,Mongomery County,spelling,Montgomery County,,,,,
Indiana,Plymouth County,city not county,Marshall County,,,,,
Indiana,Saint Joseph County,spelling,St. Joseph County,,,,,
Kansas,Campbell County,incorrect name,Montgomery County,,yes - not found,yes ,,
Kansas,Essex County,incorrect name,Butler County,,yes,,,
Kansas,Orange County,incorrect name,Shawnee County,,yes,,,
Kentucky,Hardin Couny,spelling,Hardin County,,,,,
Kentucky,Marshal County,spelling,Marshall County,,,,,
Louisiana,Beauregard Pairsh,spelling,Beauregard Parish,,,,,
Louisiana,Desoto Parish,spelling,De Soto Parish,,,,,
Louisiana,East Baton Rouge Parsih,spelling,East Baton Rouge Parish,,,,,
Louisiana,Jefferon Parish,spelling,Jefferson Parish,,,,,
Louisiana,Los Angeles County,incorrect name,Tangipahoa Parish,,yes - not found,yes,,found the correct county from the atlas summary and cross-checking the link 2
Louisiana,Ouachita Parish County,incorrect name,Ouachita Parish,,,,,
Louisiana,Saint Charles Parish,spelling,St. Charles Parish,,,,,
Louisiana,Saint Martin Parish,spelling,St. Martin Parish,,,,,
Louisiana,Saint Mary Parish,spelling,St. Mary Parish,,,,,
Louisiana,Saint Tammany Parish,spelling,St. Tammany Parish,,,,,
Louisiana,St. John Baptist Parish,spelling,St. John the Baptist Parish,,,,,
Louisiana,Tallapoosa County,wrong state,Tallapoosa County,Alabama,,,,
Louisiana,Union Parish County,spelling,Union Parish,,,,,
Maryland,Baltimore (City) County,spelling,Baltimore City,,yes - not found,,,"two separate counties in this one, prince george and baltimore"
Maryland,Benton County,incorrect name,Worcester,,yes - not found,yes,,
Maryland,Calvery County,spelling,Calvert County,,,,,
Maryland,Hartford County,spelling,Harford County,,yes - not found,yes - not found,,
Maryland,Queen Anne County,spelling,Queen Anne's County,,,,,
Maryland,Saint Mary's County,spelling,St. Mary's County,,,,,
Massachusetts,Baltimore County,wrong state,,Maryland,yes,,,Where does Baltimore Police Department operate primarily in? There is Baltimore County and Baltimore City
Michigan,Fulton County,incorrect name,Calhoun County,,yes,,,Nottawaseppi Huron Band of the Potawatomi is located in Calhoun County
Michigan,Genesse County,spelling,Genesee County,,,,,
Michigan,Ottawa County |,spelling,Ottawa County,,,,,
Michigan,Saint Clair County,spelling,St. Clair County,,,,,
Michigan,Tittabawassee Township,township not county,Saginaw County,,,,,
Minnesota,Beltrami County Sheriff’s Office,incorrect name,Beltrami County,,,,,
Minnesota,Duluth County,incorrect name,Hennepin County,,yes,yes,,St. Louis Park is located in Hennepin County
Minnesota,Mille Lacs Coutny,spelling,Mille Lacs County,,,,,
Minnesota,Saint Louis County,spelling,St. Louis County,,,,,
Minnesota,St Louis County,spelling,St. Louis County,,,,,
Minnesota,Todd & Wadena County,multicounty entry,Todd County,,,,,
Minnesota,Todd & Wadena County,multicounty entry,Wadena County,,,,,
Missouri,Bennington County,incorrect name,Benton County,,yes,,,Checked summary and source
Missouri,Buchanan Counthy,spelling,Buchanan County,,,,,
Missouri,Cape Girardeau And Scott County,incorrect name,Cape Girardeau County,,yes,,,Sources only mention Cape Girardeau County
Missouri,Saint Charles County,spelling,St. Charles County,,,,,
Missouri,Saint Francois County,spelling,St. Francois County,,,,,
Missouri,Saint Louis County,spelling,St. Louis County,,,,,
Missouri,Sainte Genevieve County,spelling,Ste. Genevieve County,,,,,
Missouri,Ste Genevieve County,spelling,Ste. Genevieve County,,,,,
Nebraska,Filmore County,spelling,Fillmore County,,,,,
Nebraska,Jonshon County,spelling,Johnson County,,,,,
Nebraska,Montgomery County,incorrect name,Hamilton County,,yes,,,"Tech used ""across Aurora and Hamilton County law departments"""
Nevada,Ontario County,incorrect name,Seneca County,New York,yes,,,County listed in Link 1
New Mexico,Apache County,incorrect name,San Juan County,,yes,,,
New Mexico,Doña Ana County,spelling,Dona Ana County,,,,,
New Mexico,Nm,incorrect name,Dona Ana County,,yes,,,County listed in Link 1
New Mexico,Ramsey County,wrong state,Ramsey County,Minnesota,yes,yes,,
New Mexico,Ria Arriba County,spelling,Rio Arriba County,,,,,
New Mexico,Santa Fe Conuty,spelling,Santa Fe County,,,,,
New York,Niagra County,spelling,Niagara County,,,,,
New York,Onandaga County,spelling,Onondaga County,,,,,
New York,Saint Lawrence County,spelling,St. Lawrence County,,,,,
New York,Wester,spelling,Westchester County,,,,,
North Carolina,Dare Conuty,spelling,Dare County,,,,,
North Carolina,Guiliford County,spelling,Guilford County,,,,,
Ohio,Campbell County,city not county,Mahoning County,,,,,
Ohio,Chester County,incorrect name,Butler County,,yes - not found,yes,,West Chester Township is in Butler County
Ohio,Collin County,incorrect name,Shelby County,,yes,,,
Ohio,Erie County County,spelling,Erie County,,,,,
Ohio,Franklin County County,spelling,Franklin County,,,,,
Ohio,Jackson County County,spelling,Jackson County,,,,,
Ohio,Lorain County County,spelling,Lorain County,,,,,
Ohio,Mahoning County County,spelling,Mahoning County,,,,,
Ohio,Medina County County,spelling,Medina County,,,,,
Ohio,Meigs County County,spelling,Meigs County,,,,,
Ohio,Mercer County County,spelling,Mercer County,,,,,
Ohio,Montgomery County County,spelling,Montgomery County,,,,,
Ohio,Morgan County County,spelling,Morgan County,,,,,
Ohio,Scioto County County,spelling,Scioto County,,,,,
Ohio,Shelby County County,spelling,Shelby County,,,,,
Oklahoma,Gravin County,spelling,Garvin County,,,,,
Oklahoma,Leflore County,spelling,Le Flore County,,,,,
Oklahoma,Okalhoma County,spelling,Oklahoma County,,,,,
Oklahoma,Pott County,spelling,Pottawatomie County,,yes,,,
Oklahoma,Shawnee County,wrong state,Shawnee County,Kansas,yes,,,
Oregon,Warm Springs County,community not county,Jefferson County,,,,,
Pennsylvania,Landcaster County,spelling,Lancaster County,,,,,
Pennsylvania,Lawerence County,spelling,Lawrence County,,,,,
Pennsylvania,Northhampton County,spelling,Northampton County,,,,,
Pennsylvania,Shiawassee County,incorrect name,Luzerne County,,yes,,,
Puerto Rico,Aguadilla County,spelling,Aguadilla Municipality,,,,,
Puerto Rico,Bayamon County,spelling,Bayamon Municipality,,,,,
Puerto Rico,Caguas County,spelling,Caguas Municipality,,,,,
Puerto Rico,Farjardo County,spelling,Fajardo Municipality,,,,,
Puerto Rico,Mayagüez County,spelling,Mayaguez Municipality,,,,,
Puerto Rico,Ponce County,spelling,Ponce Municipality,,,,,
Puerto Rico,San Juan,spelling,San Juan Municipality,,,,,
Puerto Rico,San Juan County,spelling,San Juan Municipality,,,,,
Puerto Rico,San Juan Municipality,,,,,,,
Puerto Rico,Trujillo Alto Municipality,,,,,,,
Puerto Rico,Yabucoa County,spelling,Yabucoa Municipality,,,,,
South Carolina,Berkeley County/ Charleston County.,multicounty entry,Dorchester County,,,,,"Summerville is a town in the U.S. state of South Carolina situated mostly in Dorchester County, with small portions in Berkeley and Charleston Counties."
South Carolina,Berkeley County/ Charleston County.,multicounty entry,Berkeley County,,,,,
South Carolina,Berkeley County/ Charleston County.,multicounty entry,Charleston County,,,,,
South Carolina,Spartanburg County/ Cherokee County,multicounty entry,Spartanburg County,,,,,
South Carolina,Spartanburg County/ Cherokee County,multicounty entry,Cherokee County,,,,,
South Dakota,Davidson County,spelling,Davison County,,yes,,,
South Dakota,Minter County,spelling,Miner County,,,,,
South Dakota,Oblala Lakota County,spelling,Oglala Lakota,,yes,,,
Tennessee,Collinwood County,city not county,Wayne County,,,,,
Tennessee,Dallas County,wrong state,Dallas County,Texas,,,,
Tennessee,"Dayton, Tennessee County, Rhea County",statewide,,,yes,,,Technology was contracted to all members of law enforcement across the state - how to code? 
Tennessee,De Kalb County,spelling,DeKalb County,,,,,
Tennessee,Dickinson County,spelling,Dickson County,,,,,
Tennessee,Jiles County,spelling,Giles County,,,,,
Tennessee,Kingston County,city not county,Roane County,,,,,
Tennessee,Lawrence County County,spelling,Lawrence County,,,,,
Tennessee,Maryn County,spelling,Marion County,,,,,New Hope is in Marion County
Tennessee,Maynardville County,city not county,Union County,,,,,
Tennessee,Mc Minn County,spelling,McMinn County,,,,,
Tennessee,Mc Nairy County,spelling,McNairy County,,,,,
Tennessee,Ray County,spelling,Rhea County,,,,,
Tennessee,Seker County,spelling,Sevier County,,,,,Pigeon Forge is in Sevier County
Tennessee,Tioga County,incorrect name,Knox County,,yes,,,
Tennessee,Valencia County,wrong state,Valencia County,New Mexico,yes,yes,,
Tennessee,Waverly County,city not county,Humphreys County,,,,,
Texas,Angleton County,city not county,Brazoria County,,,,,
Texas,Warren County,statewide,Tyler County,,yes,yes,,"For the State and Wildlife Department - statewide, where to put? "
Texas,‎Harris County‎,spelling,Harris County,,,,,
Virgin Islands,St. Croix County,spelling,St. Croix Island,,,,,
