NEWAOSNUMBER (ORI9),State,County,City,Summary,Link 1 Date,Link 1,Link 2 Date,Link 2,Link 3 Date,Link 3,corrected_earliest_date,reasoing
TX0140300BWC,TX,Bell County,Harker Heights,The Harker Heights Police Department patrol officers wear Coban body-worn cameras.,2017/2018,http://www.ci.harker-heights.tx.us/images/PDF/HarkerHeightsFY2017-2018BudgetBook.pdf,01/14/2020,https://www.facebook.com/harkerheightspd/photos/a.1677204508960964/3483623328319064/?type=3&theater,NA,NA,30/9/2017,"The federal fiscal year mentioned in the budget confirming the acquisition begins on October 1st, so the day prior was chosen. "
NV0160100BWC,NV,Washoe County,Reno,"The Reno Police Department has been using Axon body-worn cameras since at least 2018. In 2022, the agency upgraded to Axon's Fleet model.",6/11/2018,https://www.ktvn.com/story/38400035/local-officers-begin-wearing-body-cameras,10/26/2022,Reno City Council,Meeting documents,https://reno.primegov.com/Portal/viewer?id=1173&type=2,NA,
CA0270600PRPO,CA,Monterey County,Monterey,The Monterey Police Department began using PredPol (now Geolitica) predictive policing software sometime between 2015 and 2017.,2017-2019,https://monterey.org/Portals/0/Reports/Finance/Budget/Adopted-Budget-2017-2019-Biennium_FINAL.pdf,NA,NA,NA,NA,30/6/2017,Fiscal plan for the FY 2017-19. Assumedly published before the FY began. 
GA1360100BWC,GA,Thomas County,Thomasville,"In 2017, the Thomasville Police Department bought 25 Motorola body-worn cameras.",4/23/2019,https://www.timesenterprise.com/news/local_news/officers-body-cams-help-police-and-the-public/article_2c37651d-4af9-5198-be38-9ed93930d9f8.html,"21, 2019",https://www.valdostadailytimes.com/news/local_news/ever-vigilant-body-cams-keep-police-on-the-record/article_d9ea301a-822d-5edd-b98f-8a6939727dd8.html,NA,NA,NA,
NJ0150600BWC,NJ,Ocean County,Brick Township,"The Brick Police Department has 88 body-worn cameras, according to a 2020 survey from New Jersey Attorney General's Office.",2020,https://www.nj.gov/oag/newsreleases20/2020-BWC-Survey_FULL.pdf,2016-2019,https://www.documentcloud.org/documents/6573652-2016-BWCPIP-Factsheet-2016-Final.html,NA,NA,30/6/2016,Link 2 specifies it was for the fiscal year of 2016. The end of this year will be chosen as the publication date
CA0191600BWC,CA,Los Angeles County,Covina,"The Covina Police Department was awarded $187,000 in U.S. Department of Justice funds in 2016 to implement body-worn cameras. As of 2020, the program was still in development.",2020-2021,https://covinaca.gov/sites/default/files/fileattachments/police/page/1048/covina_pd_strategic_plan_2020_21_external_print_1.pdf,2019,https://covinaca.gov/sites/default/files/fileattachments/police/page/1048/community_october_2019_monthly_report.pdf,2017,https://covinaca.gov/sites/default/files/fileattachments/finance/page/3131/fy_2017_cip_with_cover_page.pdf,30/6/2017,The earliest link was published for the 2017-21 financial years. The date prior to the 2017 fiscal year will be used. 
UT0250100BWC,UT,Utah County,American Fork,The American Fork Police Department first adopted body-worn cameras in 2007.,1/2/2014,https://archive.sltrib.com/article.php?id=57270656&itype=CMSID,2019-2020,https://afcity.org/DocumentCenter/View/10666/FY-2020-Adopted-Budget,11/12/2019,https://afcity.org/DocumentCenter/View/11513/FY-2019-Comprehensive-Annual-Financial-Report,NA,
WY0150100BWC,WY,Park County,Cody,"The Cody City Council approved funding for the Cody Police Department's in-car camera and integrated body-worn camera system in the 2016-17 fiscal year. The program was partially funded by a $50,000 U.S. Department of Justice grant. The Cody Police Department also received a Small, Rural, and Tribal Body-Worn Camera Program grant for $30,000 for 30 body-worn cameras in 2023.",2016-17,https://www.cityofcody-wy.gov/367/Body-Cameras,7/2/2018,http://www.codyenterprise.com/news/local/article_d035bc46-7e2f-11e8-b525-df36ff45433c.html,2024,https://www.srtbwc.com/micro-grantees-2023/,30/6/2016,The link details the 2016-2017 financial year
CA0301000ALPR,CA,Orange County,Huntington Beach,The Huntington Beach Police Department usees Flock Safety and Motorola Solutions (formerly Vigilant Solutions) automated license plate readers).,2023,https://www.muckrock.com/foi/huntington-beach-3252/automated-license-plate-readers-huntington-beach-police-department-136199/,2/13/2020,https://www.auditor.ca.gov/reports/2019-118/surveys/huntington_beach_police_department.html,Huntington Beach,https://www.huntingtonbeachca.gov/files/users/info_systems/Proposed-Budget-2020-2021-REVISED-.pdf,NA,
CA0196900ALPR,CA,Los Angeles County,South Gate,The South Gate Police Department operates automated license plate readers.,5/31/2016,https://www.cityofsouthgate.org/files/sharedassets/public/v/1/government/departments/police/documents/16-03-alpr-1.pdf,6/52023,https://www.muckrock.com/foi/south-gate-3456/automated-license-plate-readers-south-gate-police-department-136338/#file-1057446,NA,NA,NA,
