NEWAOSNUMBER (ORI9),state,county,city,summary,date,year,Link 1 Date,Link 1,Link 2 Date,Link 2,Link 3 Date,Link 3,corrected_date,notes
TX0571100UAV,Texas,Dallas County,Garland,The Garland Police Department has had a drone unit since February 2020.,12/7/1905,1905,4/5/2022,https://starlocalmedia.com/mesquitenews/mesquite-and-garland-first-respondors-save-five-people-from-drowning/article_d1abbe52-b51e-11ec-b6d6-c7b717e48665.html,4/5/2022,https://www.dallasnews.com/news/weather/2022/04/05/mesquite-garland-police-and-fire-use-drone-to-rescue-people-after-north-texas-storm/,7/12/1905,https://careers.garlandtx.gov/DocumentCenter/View/9799/Drone-State-Report-Final-2019-2020-PDF,1/1/2019,Link 3 corrected date
ME0060100BWC,Maine,Kennebec County,Augusta,"The Augusta Police Department has purchased body-worn cameras but was still in the process of implementing them, according to data compiled by WGME CBS 13 in 2022.",16/7/1905,1905,10/28/2022,https://wgme.com/news/i-team/maine-mom-wants-more-body-cameras-after-police-shot-her-son-chad-dionne-york-county-sheriffs-office-sabattus-police-department#,10/28/2022,https://public.flourish.studio/visualisation/11599475/,7/16/1905,https://www.srtbwc.com/micro-grantees-2024/,28/10/2022,Link 3 is from 2024
KY0568000PRPO,Kentucky,Jefferson County,Louisville,The Louisville Metro Police Department has used predictive policing technology since 2016.,206-09-21,206,2016,https://louisvilleky.gov/government/mayor-greg-fischer/strategic-plan/7-predictive-policing,9/21/0206,https://www.wave3.com/story/33150410/hundreds-of-crime-prevention-experts-converge-on-louisville/?platform=hootsuite,NA,NA,21/9/2016,Link 2 corrected date
KY0568000RTCC,Kentucky,Jefferson County,Louisville,The Louisville Metro Police Department has operated a real-time crime center since 2014.,217-06-14,217,06/14/0217,https://louisvillefuture.com/archived-news/a-look-inside-lmpds-real-time-crime-center/,NA,NA,NA,NA,14/6/2017,
WI0130800BWC,Wisconsin,Dane County,Madison,The University of Wisconsin-Madison Police Department began using L3 body-worn cameras in 2015.,205-11-03,205,11/3/2015,https://www.govtech.com/education/higher-ed/Entire-UW-Madison-Police-Fleet-Equipped-with-Body-Cameras.html,11/03/0205,"https://uwpd.wisc.edu/crime-data/body-worn-cameras/#:~:text=UW%2DMadison%20Police%20Department%20officers,or%20complaints%20that%20need%20investigation.",11/19/2019,https://uwpd.wisc.edu/content/uploads/2015/08/41.3-Patrol-Equipment-12.12.pdf,3/11/2015,Link 3 corrected date is from before 09/09/2016 which is the earliest recorded date on the Way Back Machine.
GA0605600BWC,Georgia,Fulton County,Sandy Springs,"The Sandy Springs Police Department began using Axon body-worn cameras in 2017. In 2020, the Sandy Springs City Council approved a $2.2 million, 5-year contract to equip all 170 officers with cameras.",202-12-02,202,12/3/2020,https://www.sandyspringsgapolice.gov/about-sspd/sspd-blog/city-of-sandy-springs-approves-purchase-of-additional-body-cameras-for-police,12/2/0202,https://www.11alive.com/article/news/local/sandy-springs/sandy-springs-officials-getting-more-bodycams-to-ensure-all-officers-will-have-one/85-236634e4-915a-43ad-b313-f8cdf212752b,NA,NA,3/12/2020,Could not verify Link 2 date
WI0680500ALPR,Wisconsin,Waukesha County,Waukesha,"The Waukesha Police Department has installed 28 Flock Safety automated license plate readers as of August 2023, with plans to install three more.",11/7/1905,1905,8/2/2023,https://www.fox6now.com/news/wisconsin-ai-powered-flock-cameras,1/10/2018,https://www.jsonline.com/story/communities/northwest/news/sussex/2018/01/10/sussex-buy-automated-license-plate-readers-squad-car/1016736001/,7/11/1905,https://waukesha-wi.gov/DocumentCenter/View/8580/2019-ADOPTED-CIP-BUDGET-BOOK---FINAL,10/1/2018,Link 3 from 2019
NC0800000ALPR,North Carolina,Rowan County,Salisbury,The Rowan County Sheriff's Office has installed 14 Flock Safety automated license plate readers.,30/4/3023,3023,4/30/3023,https://www.salisburypost.com/2023/04/30/license-plate-reader-cameras-assist-area-law-enforcement/,NA,NA,NA,NA,30/4/2023,
IL0992200BWC,Illinois,Will County,Mokena,The Mokena Police Department uses 36 Axon body-worn cameras as of 2024.,16/7/1905,1905,7/6/2023,https://patch.com/illinois/mokena/mokena-police-officers-will-wear-body-worn-cameras-fall,2024,https://www.documentcloud.org/documents/24549373-srt-bwc-micro-grantee-award-2059,7/16/1905,https://www.srtbwc.com/micro-grantees-2023/,6/7/2023,
CA0300100CR,California,Orange County,Anaheim,The Anaheim Police Department began maintaining a community camera registry in 2025.,17/7/1905,1905,7/17/1905,https://connectanaheim.org/camera-registration/,NA,NA,NA,NA,17/7/2025,
